"DATE","OPEN","HIGH","LOW","CLOSE"
03/16/23,31827.65,32281.61,31571.46,32246.55
03/15/23,31759.87,31906.47,31429.82,31874.57
03/14/23,32055.29,32306.59,31805.40,32155.40
03/13/23,31819.93,32240.35,31624.87,31819.14
03/10/23,32185.14,32422.10,31783.41,31909.64
